"","pixels","ecoregion.name","function.current","cv.current","richness.loss","FDis.loss","function.loss","cv.loss"
"289",20,"Trans.Baikal_Bald_Mountain_tundra",1.56,2.34,"-3%","-6%","-60%","-51%"
"290",26,"Trans.Baikal_conifer_forests",1.48,2.86,"-5%","-9%","-76%","-64%"
"291",13,"Trans.Mexican_Volcanic_Belt_pine.oak_forests",1.19,9.7,"-3%","-6%","-81%","-38%"
"292",12,"Tyrrhenian.Adriatic_sclerophyllous_and_mixed_forests",0.17,0.94,"-3%","-11%","-93%","-72%"
"293",49,"Uatuma..Trombetas_moist_forests",2.29,1.62,"-4%","-6%","-67%","-68%"
"294",12,"Ucayali_moist_forests",2.05,9.41,"-2%","-4%","-67%","-30%"
"295",29,"Upper_Gangetic_Plains_moist_deciduous_forests",1.62,0.58,"-4%","-5%","-44%","-57%"
"296",15,"Upper_Midwest_US_forest.savanna_transition",0.54,0.08,"-10%","-22%","-94%","-98%"
"297",22,"Urals_montane_forest_and_taiga",0.87,0.8,"-7%","-12%","-85%","-85%"
"298",37,"Uruguayan_savanna",0.68,1.7,"-9%","-8%","-92%","-82%"
"299",21,"Ussuri_broadleaf_and_mixed_forests",1.58,2.7,"-2%","-2%","-57%","-44%"
"300",29,"Valdivian_temperate_forests",0.32,3.58,"-1%","-2%","-82%","-28%"
"301",17,"Victoria_Basin_forest.savanna",3.18,4.46,"-2%","-1%","-32%","-17%"
"302",25,"Victoria_Plains_tropical_savanna",0.58,0.75,"-1%","-8%","4%","2%"
"303",21,"Watson_Highlands_taiga",1.27,1.84,"-6%","-11%","-72%","-64%"
"304",79,"West_Sahara_desert",0.18,0.06,"-7%","-13%","-91%","-95%"
"305",27,"West_Saharan_montane_xeric_woodlands",0.46,0.63,"-5%","-8%","-83%","-74%"
"306",177,"West_Siberian_taiga",0.88,0.29,"-6%","-10%","-82%","-88%"
"307",174,"West_Sudanian_savanna",2.35,1.67,"-2%","-1%","-35%","-35%"
"308",54,"Western_Australian_Mulga_shrublands",0.41,1.8,"-3%","-17%","-15%","-8%"
"309",40,"Western_Congolian_forest.savanna",2.68,11.16,"-1%","0%","-21%","-7%"
"310",13,"Western_Congolian_swamp_forests",3.15,0.19,"0%","-1%","-3%","-19%"
"311",54,"Western_European_broadleaf_forests",0.36,0.64,"-7%","-9%","-94%","-88%"
"312",32,"Western_Great_Lakes_forests",0.92,0.76,"-9%","-18%","-88%","-87%"
"313",23,"Western_Guinean_lowland_forests",4.57,7.05,"-1%","-1%","-10%","-7%"
"314",11,"Western_Gulf_coastal_grasslands",0.77,0.12,"-7%","-12%","-90%","-97%"
"315",53,"Western_shortgrass_prairie",1.01,1.06,"-12%","-12%","-90%","-88%"
"316",21,"Western_Siberian_hemiboreal_forests",1.06,0.18,"-6%","-10%","-81%","-91%"
"317",12,"Wyoming_Basin_shrub_steppe",1.05,2.19,"-10%","-13%","-86%","-77%"
"318",30,"Xingu.Tocantins.Araguaia_moist_forests",1.47,0.58,"-5%","-8%","-81%","-88%"
"319",46,"Yamal.Gydan_tundra",0.41,0.01,"-13%","-9%","-91%","-99%"
"320",26,"Yunnan_Plateau_subtropical_evergreen_forests",1.23,6.14,"-4%","-6%","-70%","-35%"
"321",41,"Zagros_Mountains_forest_steppe",0.59,0.82,"-5%","-4%","-72%","-65%"
"322",39,"Zambezian_Baikiaea_woodlands",2.93,1.96,"-2%","-1%","-32%","-32%"
"323",23,"Zambezian_flooded_grasslands",3.66,4.07,"-2%","-1%","-25%","-20%"
"324",39,"Zambezian_mopane_woodlands",3.18,4.28,"-2%","-2%","-32%","-23%"
"325",19,"Zambezian.Limpopo_mixed_woodlands",2.81,3.21,"-2%","-1%","-40%","-32%"
